Word,Count
the,1005
a,561
and,451
you,374
he,365
to,358
i,354
of,352
that,262
was,259
it,241
in,240
said,223
s,221
t,143
on,139
his,129
she,123
what,118
for,118
with,112
is,105
we,95
carella,93
no,91
this,89
have,89
at,89
not,88
had,88
or,83
there,76
do,76
all,76
but,75
would,69
her,68
then,66
about,65
yes,64
like,63
one,61
man,61
so,60
meyer,59
from,59
who,58
well,58
just,58
out,56
an,56
me,55
him,55
did,55
can,55
kling,54
know,53
as,53
get,52
been,52
be,52
bag,52
if,51
right,50
hand,50
were,47
mean,46
got,46
genero,46
your,45
they,44
into,44
asked,43
when,42
up,42
are,42
don,40
how,39
very,38
rain,37
now,37
them,36
re,36
m,36
here,35
d,34
my,33
could,32
time,30
room,30
go,30
back,29
think,28
nothing,28
little,28
ll,27
where,26
two,26
take,26
didn,26
by,26
blaney,26
why,25
going,25
androvich,25
some,24
off,24
come,24
yeah,23
over,23
oh,23
more,23
left,23
big,23
again,23
see,22
only,22
black,22
too,21
say,21
person,21
our,21
other,21
max,21
detective,21
before,21
went,20
thought,20
something,20
morning,20
livingston,20
good,20
because,20
through,19
let,19
day,19
bus,19
any,19
these,18
lennie,18
head,18
face,18
coffee,18
blood,18
woman,17
will,17
which,17
way,17
than,17
put,17
look,17
husband,17
human,17
bartholdi,17
those,16
tell,16
sir,16
missing,16
made,16
knew,16
grossman,16
came,16
boy,16
answered,16
wine,15
steve,15
paused,15
long,15
hell,15
hawes,15
down,15
door,15
dead,15
claire,15
bones,15
body,15
ain,15
white,14
us,14
red,14
parker,14
once,14
never,14
karl,14
give,14
find,14
every,14
dozen,14
corner,14
cop,14
anything,14
water,13
ve,13
three,13
stop,13
severed,13
pretty,13
make,13
looked,13
isn,13
eyes,13
even,13
city,13
called,13
want,12
under,12
six,12
pulled,12
near,12
much,12
meg,12
meat,12
kind,12
job,12
himself,12
hands,12
guy,12
first,12
either,12
damn,12
cleaver,12
away,12
another,12
while,11
told,11
still,11
stain,11
place,11
kid,11
found,11
already,11
age,11
against,11
